,video_id,video_title,upload_date,view_count,like_count,comment_count
144,6KK0qilW7qU,SQL Course Live Now On Codebasics.io | SQL For Beginner and Advanced Users,2022-11-17,42016,681,79
145,ezrT1H-6DMY,SQL Course Movie Trailer,2022-11-15,33838,774,89
146,tD_sQSzq6uY,Get a Data Science Interview Call Using Cold Emailing,2022-11-12,7938,287,10
147,asOnUFHlvZw,Resume Project Challenge #2 Winner Announcement: Supply Chain Insights In FMCG Domain,2022-11-10,5679,134,4
148,zh-xQp508Vk,"4 Tips For Building Powerful Data Science Projects. Ft. Nick Singh (Ex. Facebook, Google)",2022-11-05,10791,336,13
149,Cq_pbQYO3M8,fastText tutorial | Text Classification Using fastText | NLP Tutorial For Beginners - S2 E13,2022-10-28,19496,611,41
150,Br-Ozg9D4mc,fastText Tutorial | Train Custom Word Vectors in fastText | NLP Tutorial For Beginners - S2 E12,2022-10-22,23133,481,44
151,2lfLPAfU40g,Free data analytics project for your resume with FMCG / Supply Chain dataset | Challenge #2,2022-10-12,28048,652,36
152,ZrgVlfNduj8,News classification using Gensim word vectors: NLP Tutorial For Beginners - S2 E11,2022-10-11,12428,466,36
153,aiX9hyxVcL8,Resume Project Challenge Winner Announcement: Revenue Insights In Hospitality Domain,2022-10-10,6816,151,6
154,0r2NJdalzDw,Word vectors in Gensim overview: NLP Tutorial For Beginners - S2 E10,2022-10-05,13513,451,21
155,ibi5hvw6f3g,News classification using Spacy word vectors: NLP Tutorial For Beginners - S2 E9,2022-10-01,15910,500,29
156,vyohzuTkty8,Word vectors in Spacy overview: NLP Tutorial For Beginners - S2 E8,2022-09-28,14234,316,15
157,hwuCesO6BTk,AI/Ml Career Insights From Google&#39;s AI Cloud Solution Services Head - India,2022-09-24,11917,276,15
158,Q-x0xwHAOUQ,Free data analytics project for your resume with hospitality dataset | Challenge #1,2022-09-21,21416,605,16
159,woGM7Mgz7ZQ,3 Important things to get your resume picked,2022-09-19,6770,291,7
160,7Mp82bRhvW0,Three excellent websites to practice SQL interview questions 🔥,2022-09-17,21953,1222,8
161,QOyHqOrn2DE,NVIDIA GPU Giveaway | World&#39;s Biggest FREE AI Conference - NVIDIA GTC Fall 2022,2022-09-16,5811,187,108
162,Rn0LyHJujF4,Build a Stand-Out Data Science Project Portfolio With Omdena,2022-09-14,34954,1072,38
163,PaoXRxgEQp8,8 Data Analyst Skills in 2022 | Ironman Style 🔥🔥,2022-09-12,21989,1425,17
164,W7lmbinPNW8,6 Power BI Skills To Become A Successful Data Analyst 🔥🔥,2022-09-09,16684,799,7
165,Do8cVbx-HOs,Text Representation Using Word Embeddings: NLP Tutorial For Beginners - S2 E7,2022-09-08,27021,636,25
166,uRrQLefb4-I,Data Analyst Project For Beginners (HR Analytics): 6 - Closing,2022-09-05,26077,475,40
167,q0-XCIu0fSc,Data Analyst Project For Beginners (HR Analytics): 5 - Dashboarding,2022-09-05,22164,256,25
168,v_enwVAvsyQ,Data Analyst Project For Beginners (HR Analytics): 4 - Creating Metrics,2022-09-05,25040,255,69
